plant_id,Row,Range,Row_Range,id,area_calculation
20RITI21220,13,20,13_20,355,1.338539325
20RITI21320,14,20,14_20,356,1.53240076
20RITI21420,15,20,15_20,357,1.759131751
20RITI21520,16,20,16_20,358,1.532179693
20RITI21620,17,20,17_20,359,1.238797131
20RITI21720,18,20,18_20,360,1.741787866
20RITI20021,1,21,1_21,361,1.56573169
20RITI20121,2,21,2_21,362,1.031438396
20RITI20221,3,21,3_21,363,1.847168633
20RITI20321,4,21,4_21,364,1.602420702
20RITI20421,5,21,5_21,365,1.47566884
20RITI20521,6,21,6_21,366,1.493447616
20RITI20621,7,21,7_21,367,1.663433717
20RITI20721,8,21,8_21,368,1.396183998
20RITI20821,9,21,9_21,369,1.000581102
20RITI20921,10,21,10_21,370,1.202775655
20RITI21021,11,21,11_21,371,1.25434047
20RITI21121,12,21,12_21,372,1.3646463
20RITI21221,13,21,13_21,373,1.82734688
20RITI21321,14,21,14_21,374,1.503128661
20RITI21421,15,21,15_21,375,1.703965654
20RITI21521,16,21,16_21,376,1.778941011
20RITI21621,17,21,17_21,377,1.599038841
20RITI21721,18,21,18_21,378,1.501558408
20RITI20022,1,22,1_22,379,1.393479048
20RITI20122,2,22,2_22,380,1.541859673
20RITI20222,3,22,3_22,381,1.426575687
20RITI20322,4,22,4_22,382,1.464181478
20RITI20422,5,22,5_22,383,1.254333664
20RITI20522,6,22,6_22,384,1.584632722
20RITI20622,7,22,7_22,385,1.554464157
20RITI20722,8,22,8_22,386,1.386504956
20RITI20822,9,22,9_22,387,1.410807347
20RITI20922,10,22,10_22,388,1.266490859
20RITI21022,11,22,11_22,389,1.58350576
20RITI21122,12,22,12_22,390,1.377269515
20RITI21222,13,22,13_22,391,1.82261383
20RITI21322,14,22,14_22,392,1.398662733
20RITI21422,15,22,15_22,393,1.372318456
20RITI21522,16,22,16_22,394,1.794252913
20RITI21622,17,22,17_22,395,1.824648563
20RITI21722,18,22,18_22,396,1.832980661
20RITI20023,1,23,1_23,397,1.625837126
20RITI20123,2,23,2_23,398,1.351606291
20RITI20223,3,23,3_23,399,1.247122096
20RITI20323,4,23,4_23,400,1.326831542
20RITI20423,5,23,5_23,401,1.232723111
20RITI20523,6,23,6_23,402,1.175973909
20RITI20623,7,23,7_23,403,1.389879745
20RITI20723,8,23,8_23,404,1.27910509
20RITI20823,9,23,9_23,405,1.320077546
20RITI20923,10,23,10_23,406,1.309489765
20RITI21023,11,23,11_23,407,1.450664221
20RITI21123,12,23,12_23,408,1.375233093
20RITI21223,13,23,13_23,409,1.566619007
20RITI21323,14,23,14_23,410,1.338987048
20RITI21423,15,23,15_23,411,1.286308977
20RITI21523,16,23,16_23,412,1.413731609
20RITI21623,17,23,17_23,413,1.450426544
20RITI21723,18,23,18_23,414,1.548150281
20RITI20024,1,24,1_24,415,1.467105384
20RITI20124,2,24,2_24,416,0.932806779
20RITI20224,3,24,3_24,417,1.27211296
20RITI20324,4,24,4_24,418,1.056875204
20RITI20424,5,24,5_24,419,1.560090318
20RITI20524,6,24,6_24,420,1.298914408
20RITI20624,7,24,7_24,421,1.367127836
20RITI20724,8,24,8_24,422,1.112927839
20RITI20824,9,24,9_24,423,1.48421569
20RITI20924,10,24,10_24,424,1.245103871
20RITI21024,11,24,11_24,425,1.484209081
20RITI21124,12,24,12_24,426,1.261988958
