plant_id,source_id,germplasm_id,experiment_id,planting_date,row,range,rep
20RITI20105,UM2014_0001_06,UM2014_0001_06,20_RIC_KERNZA_C0HSF,2020-05-14,2,5,1
20RITI20106,MN_1501_Syn2_14,MN_1501_Syn2_14,20_RIC_KERNZA_C0HSF,2020-05-14,2,6,1
20RITI20107,UM2014_0025_11,UM2014_0025_11,20_RIC_KERNZA_C0HSF,2020-05-14,2,7,1
20RITI20108,UM2014_0066_11,UM2014_0066_11,20_RIC_KERNZA_C0HSF,2020-05-14,2,8,1
20RITI20109,TLI_10427_53,TLI_10427_53,20_RIC_KERNZA_C0HSF,2020-05-14,2,9,1
20RITI20110,TLI_14172_23,TLI_14172_23,20_RIC_KERNZA_C0HSF,2020-05-14,2,10,1
20RITI20111,TLI_3719_10,TLI_3719_10,20_RIC_KERNZA_C0HSF,2020-05-14,2,11,1
20RITI20112,TLI_4201_A_70,TLI_4201_A_70,20_RIC_KERNZA_C0HSF,2020-05-14,2,12,1
20RITI20113,UM2014_0044_69,UM2014_0044_69,20_RIC_KERNZA_C0HSF,2020-05-14,2,13,1
20RITI20114,TLI_12869_21,TLI_12869_21,20_RIC_KERNZA_C0HSF,2020-05-14,2,14,1
20RITI20115,UM2014_0001_19,UM2014_0001_19,20_RIC_KERNZA_C0HSF,2020-05-14,2,15,1
20RITI20116,UM2014_0026_23,UM2014_0026_23,20_RIC_KERNZA_C0HSF,2020-05-14,2,16,1
20RITI20117,MN_1501_Syn2_06,MN_1501_Syn2_06,20_RIC_KERNZA_C0HSF,2020-05-14,2,17,1
20RITI20118,TLI_1523_13,TLI_1523_13,20_RIC_KERNZA_C0HSF,2020-05-14,2,18,1
20RITI20119,TLI_5250_17,TLI_5250_17,20_RIC_KERNZA_C0HSF,2020-05-14,2,19,1
20RITI20120,UM2014_0132_10,UM2014_0132_10,20_RIC_KERNZA_C0HSF,2020-05-14,2,20,1
20RITI20121,UM2014_0001_07,UM2014_0001_07,20_RIC_KERNZA_C0HSF,2020-05-14,2,21,1
20RITI20122,TLI_3078_20,TLI_3078_20,20_RIC_KERNZA_C0HSF,2020-05-14,2,22,1
20RITI20123,TLI_14172_06,TLI_14172_06,20_RIC_KERNZA_C0HSF,2020-05-14,2,23,1
20RITI20124,Alkar,Alkar,20_RIC_KERNZA_C0HSF,2020-05-14,2,24,1
20RITI20125,UM2014_0026_17,UM2014_0026_17,20_RIC_KERNZA_C0HSF,2020-05-14,2,25,1
20RITI20126,TLI_1648_22,TLI_1648_22,20_RIC_KERNZA_C0HSF,2020-05-14,2,26,1
20RITI20127,TLI_5250_44,TLI_5250_44,20_RIC_KERNZA_C0HSF,2020-05-14,2,27,1
20RITI20128,TLI_5250_47,TLI_5250_47,20_RIC_KERNZA_C0HSF,2020-05-14,2,28,1
20RITI20129,TLI_6470_19,TLI_6470_19,20_RIC_KERNZA_C0HSF,2020-05-14,2,29,1
20RITI20130,TLI_3078_12,TLI_3078_12,20_RIC_KERNZA_C0HSF,2020-05-14,2,30,1
20RITI20131,MN_1505_Syn2_43,MN_1505_Syn2_43,20_RIC_KERNZA_C0HSF,2020-05-14,2,31,1
20RITI20132,TLI_1523_11,TLI_1523_11,20_RIC_KERNZA_C0HSF,2020-05-14,2,32,1
20RITI20133,MN_1503_Syn2_06,MN_1503_Syn2_06,20_RIC_KERNZA_C0HSF,2020-05-14,2,33,1
20RITI20134,UM2014_0044_23,UM2014_0044_23,20_RIC_KERNZA_C0HSF,2020-05-14,2,34,1
20RITI20135,TLI_10427_59,TLI_10427_59,20_RIC_KERNZA_C0HSF,2020-05-14,2,35,1
20RITI20136,TLI_3078_14,TLI_3078_14,20_RIC_KERNZA_C0HSF,2020-05-14,2,36,1
20RITI20137,UM2014_0026_24,UM2014_0026_24,20_RIC_KERNZA_C0HSF,2020-05-14,2,37,1
20RITI20138,TLI_6470_10,TLI_6470_10,20_RIC_KERNZA_C0HSF,2020-05-14,2,38,1
20RITI20139,MN_1504_Syn2_21,MN_1504_Syn2_21,20_RIC_KERNZA_C0HSF,2020-05-14,2,39,1
20RITI20140,UM2014_0066_41,UM2014_0066_41,20_RIC_KERNZA_C0HSF,2020-05-14,2,40,1
20RITI20141,TLI_6215_37,TLI_6215_37,20_RIC_KERNZA_C0HSF,2020-05-14,2,41,1
20RITI20142,UM2014_0119_02,UM2014_0119_02,20_RIC_KERNZA_C0HSF,2020-05-14,2,42,1
20RITI20143,TLI_5344_14,TLI_5344_14,20_RIC_KERNZA_C0HSF,2020-05-14,2,43,1
20RITI20144,UM2014_0119_06,UM2014_0119_06,20_RIC_KERNZA_C0HSF,2020-05-14,2,44,1
20RITI20145,UM2014_0175_06,UM2014_0175_06,20_RIC_KERNZA_C0HSF,2020-05-14,2,45,1
20RITI20146,TLI_6470_20,TLI_6470_20,20_RIC_KERNZA_C0HSF,2020-05-14,2,46,1
20RITI20147,TLI_1648_36,TLI_1648_36,20_RIC_KERNZA_C0HSF,2020-05-14,2,47,1
20RITI20148,TLI_5344_76,TLI_5344_76,20_RIC_KERNZA_C0HSF,2020-05-14,2,48,1
20RITI20149,MN_1502_Syn2_53,MN_1502_Syn2_53,20_RIC_KERNZA_C0HSF,2020-05-14,2,49,1
20RITI20150,TLI_3078_77,TLI_3078_77,20_RIC_KERNZA_C0HSF,2020-05-14,2,50,1
20RITI20151,TLI_3078_01,TLI_3078_01,20_RIC_KERNZA_C0HSF,2020-05-14,2,51,1
20RITI20152,TLI_6479_05,TLI_6479_05,20_RIC_KERNZA_C0HSF,2020-05-14,2,52,1
20RITI20153,UM2014_0152_07,UM2014_0152_07,20_RIC_KERNZA_C0HSF,2020-05-14,2,53,1
20RITI20154,UM2014_0025_13,UM2014_0025_13,20_RIC_KERNZA_C0HSF,2020-05-14,2,54,1
20RITI20155,UM2014_0165_52,UM2014_0165_52,20_RIC_KERNZA_C0HSF,2020-05-14,2,55,1
20RITI20156,TLI_5711_73,TLI_5711_73,20_RIC_KERNZA_C0HSF,2020-05-14,2,56,1
20RITI20157,UM2014_0152_06,UM2014_0152_06,20_RIC_KERNZA_C0HSF,2020-05-14,2,57,1
20RITI20158,TLI_3719_76,TLI_3719_76,20_RIC_KERNZA_C0HSF,2020-05-14,2,58,1
20RITI20159,MN_1502_Syn2_15,MN_1502_Syn2_15,20_RIC_KERNZA_C0HSF,2020-05-14,2,59,1
20RITI20160,MN_1502_Syn2_14,MN_1502_Syn2_14,20_RIC_KERNZA_C0HSF,2020-05-14,2,60,1
20RITI20161,TLI_10427_19,TLI_10427_19,20_RIC_KERNZA_C0HSF,2020-05-14,2,61,1
20RITI20162,MN_1502_Syn2_05,MN_1502_Syn2_05,20_RIC_KERNZA_C0HSF,2020-05-14,2,62,1
20RITI20163,MN_1503_Syn2_52,MN_1503_Syn2_52,20_RIC_KERNZA_C0HSF,2020-05-14,2,63,1
20RITI20164,MN_1503_Syn2_20,MN_1503_Syn2_20,20_RIC_KERNZA_C0HSF,2020-05-14,2,64,1
20RITI20165,Alkar,Alkar,20_RIC_KERNZA_C0HSF,2020-05-14,2,65,1
20RITI20166,TLI_6470_05,TLI_6470_05,20_RIC_KERNZA_C0HSF,2020-05-14,2,66,1
20RITI20167,TLI_6470_77,TLI_6470_77,20_RIC_KERNZA_C0HSF,2020-05-14,2,67,1
20RITI20168,UM2014_0132_17,UM2014_0132_17,20_RIC_KERNZA_C0HSF,2020-05-14,2,68,1
20RITI20169,TLI_1523_40,TLI_1523_40,20_RIC_KERNZA_C0HSF,2020-05-14,2,69,1
20RITI20170,UM2014_0152_13,UM2014_0152_13,20_RIC_KERNZA_C0HSF,2020-05-14,2,70,1
20RITI20171,UM2014_0119_14,UM2014_0119_14,20_RIC_KERNZA_C0HSF,2020-05-14,2,71,1
20RITI20172,TLI_6470_03,TLI_6470_03,20_RIC_KERNZA_C0HSF,2020-05-14,2,72,1
