ID,Weight (g),Bag #,Notes,Column1
20RITI21115,256.92,15,,
20RITI21123,276.8,15,,
20RITI21298,340.43,15,,
20RITI21132,253.04,15,,
20RITI21120,218.68,15,,
20RITI21106,200.16,15,,
20RITI21118,224.46,15,,
20RITI21121,267.78,15,,
20RITI21125,264.04,15,,
20RITI21167,282.29,15,,
20RITI21162,294.28,15,,
20RITI21126,210.56,15,,
20RITI21158,307.42,15,,
20RITI21113,274.84,15,,
20RITI21116,225.23,15,,
20RITI21114,256.76,15,,
20RITI21127,133.51,15,,
20RITI21174,271.67,15,,
20RITI21124,320.69,15,,
20RITI21160,309.67,15,,
20RITI21169,313.24,16,bag 16 start,
20RITI21279,315.56,16,,
20RITI21275,375.78,16,,
20RITI21133,302.92,16,,
20RITI21130,229.61,16,,
20RITI21128,219.78,16,,
20RITI21107,267.23,16,,
20RITI21173,307.7,16,,
20RITI21178,210.94,16,,
20RITI21278,451.47,16,,
20RITI21177,247.75,16,,
20RITI21136,252.03,16,quarter size hole in bottom of bag,
20RITI21139,313.48,16,,
20RITI21234,409.22,16,,
20RITI21161,192.62,16,,
20RITI21129,194.94,16,,
20RITI21131,304.41,16,,
20RITI21170,326.15,16,,
20RITI21135,195.15,16,,
20RITI21142,244.35,16,,
20RITI21157,231.12,16,,
20RITI21299,480.22,16,,
20RITI21134,221.16,16,,
20RITI21159,387.99,16,,
20RITI21138,356.57,16,,
20RITI21166,384.89,16,,
20RITI21154,286.63,16,,
20RITI21122,258.39,16,,
20RITI21172,299.22,16,,
20RITI21188,210.53,16,,
20RITI21147,290.42,16,,
20RITI21285,448.14,16,,
20RITI21200,319.22,16,,
20RITI21176,312.49,16,,
20RITI21143,224.56,16,,
20RITI21197,317.64,16,large tear in bag side. End of bag 16.,
20RITI21153,242.16,17,17 starts,
20RITI21198,355.52,17,,
20RITI21152,234,17,,
20RITI21141,239.91,17,,
20RITI21199,277.9,17,,
20RITI21140,250.1,17,,
20RITI21149,295.26,17,,
20RITI21146,243.51,17,,
20RITI21148,319.42,17,,
20RITI21137,231.75,17,,
20RITI21144,291.63,17,,
20RITI21164,296.62,17,,
20RITI21151,304.67,17,,
20RITI21145,281.34,17,,
20RITI20756,330.75,17,,
20RITI21156,328.02,17,,
20RITI20772,377.25,17,,
20RITI20759,324.78,17,,
20RITI20809,330.44,17,,
20RITI20709,288.68,17,,
20RITI20802,287.3,17,,
20RITI20791,300.59,17,,
20RITI20765,340.8,17,,
20RITI20803,319.07,17,,
20RITI20825,334.68,17,,
20RITI20833,387.54,17,,
20RITI20758,231.66,17,,
20RITI20806,297.39,17,,
20RITI20912,232.29,17,,
20RITI20814,268.02,17,,
20RITI20801,270.1,17,,
20RITI20720,226.72,17,,
20RITI20718,243.66,17,,
20RITI20716,233.67,17,,
20RITI20817,343.4,17,,
20RITI20715,256.24,17,,
20RITI20713,247.75,17,,
20RITI20800,391.16,17,,
20RITI20761,270.2,17,,
20RITI20869,389.78,17,,
