plot,gsdplot,
20RITI20649,69.45,
20RITI20650,150.11,
20RITI20651,109.76,
20RITI20652,41.67,
20RITI20653,62.36,
20RITI20654,16.86,
20RITI20655,0,
20RITI20656,53.97,
20RITI20657,8.39,
20RITI20658,28.21,had a small rip in bag
20RITI20659,75.95,
20RITI20660,53.65,
20RITI20661,60.58,
20RITI20662,25.08,
20RITI20663,5.92,
20RITI20664,63.54,had a small rip in bag
20RITI20665,132.03,
20RITI20666,29.95,
20RITI20667,50.79,
20RITI20668,64.39,
20RITI20669,19.33,
20RITI20670,61.13,
20RITI20671,79.06,
20RITI20672,54.96,
20RITI20673,5.14,
20RITI20674,13.88,
20RITI20675,3.81,
20RITI20676,8.1,
20RITI20677,3.37,
20RITI20678,8.41,
20RITI20679,0.38,
20RITI20680,3.7,
20RITI20681,0,
20RITI20682,3.53,
20RITI20683,0,
20RITI20684,47.31,
20RITI20685,79.87,
20RITI20686,23.21,
20RITI20687,79.94,
20RITI20688,114.29,
20RITI20689,0,
20RITI20690,0,
20RITI20691,0,
20RITI20692,2.32,
20RITI20693,4.53,
20RITI20694,24.53,
20RITI20695,18.32,
20RITI20696,8.99,
20RITI20697,35.45,
20RITI20698,0.92,
20RITI20699,17.63,
20RITI20700,8.28,
20RITI20701,46.59,
20RITI20702,66.73,
20RITI20703,9.44,
20RITI20704,35.51,
20RITI20705,33.7,
20RITI20706,32.88,
20RITI20707,19.4,
20RITI20708,4.34,
20RITI20709,16.81,
20RITI20710,17.82,
20RITI20711,7.02,
20RITI20712,25.05,
20RITI20713,82.03,
20RITI20714,51.49,
20RITI20715,83.01,
20RITI20716,80.24,
20RITI20717,22.49,
20RITI20718,45.61,
20RITI20719,40.38,
20RITI20720,53.46,
20RITI20721,40.61,
20RITI20722,30.07,
20RITI20723,9.96,
20RITI20724,10.08,
20RITI20725,0.68,
20RITI20726,19.44,split
20RITI20727,51.28,
20RITI20728,12.19,
20RITI20729,39.12,
20RITI20730,27.84,
20RITI20731,83.7,
20RITI20732,28.6,
20RITI20733,35.88,
20RITI20734,13.83,
20RITI20735,97.55,
20RITI20736,50.83,
20RITI20737,5.42,
20RITI20738,65.31,
20RITI20739,14.72,
20RITI20740,93.43,
20RITI20741,39.62,
20RITI20742,55.96,
20RITI20743,61.69,
20RITI20744,52.99,
20RITI20745,55.65,
20RITI20746,35.03,
20RITI20747,70.65,
20RITI20748,78.92,
20RITI20749,68.08,
20RITI20750,73.11,
20RITI20751,17.36,
20RITI20752,89.89,
20RITI20753,63.54,
20RITI20754,19.49,
20RITI20755,77.14,
20RITI20756,37.65,
20RITI20757,38.24,
20RITI20758,49.8,
20RITI20759,0,
20RITI20760,23.73,
20RITI20761,52.65,
20RITI20762,6.46,
20RITI20763,34.67,
20RITI20764,39.58,
20RITI20765,70.58,
20RITI20766,0,
20RITI20767,60.22,
20RITI20768,74.81,
20RITI20769,21.17,
20RITI20770,65.11,
20RITI20771,48.03,
20RITI20772,70.31,
20RITI20773,10.83,
20RITI20774,5.97,
20RITI20775,3.73,
20RITI20776,3.45,
20RITI20777,3.26,
20RITI20778,4.55,
20RITI20779,12.33,
20RITI20780,5.8,
20RITI20781,2.2,
20RITI20782,0.31,
20RITI20783,3.67,
20RITI20784,44.95,
20RITI20785,25.76,
20RITI20786,0.28,
20RITI20787,86.54,
20RITI20788,41.31,
20RITI20789,63.59,
20RITI20790,28.32,
20RITI20791,1.13,
20RITI20792,2.56,
20RITI20793,2.59,
20RITI20794,0,
20RITI20795,0.72,
20RITI20796,10.76,
20RITI20797,19.87,
20RITI20798,16.57,
20RITI20799,6.57,
20RITI20800,0.4,
20RITI20801,22.22,
20RITI20802,16.9,
20RITI20803,116.57,
20RITI20804,2.52,
20RITI20805,26.89,
20RITI20806,29.32,
20RITI20807,10.89,
20RITI20808,22.05,
20RITI20809,42.57,
20RITI20810,61.82,
20RITI20811,51.92,
20RITI20812,28.29,
20RITI20813,57.83,
20RITI20814,77.27,
20RITI20815,66.18,
20RITI20816,58.03,
20RITI20817,31.14,
20RITI20818,30.62,
20RITI20819,18.62,
20RITI20820,14.13,
20RITI20821,7.99,
20RITI20822,84.14,
20RITI20823,57.32,
20RITI20824,77.47,
20RITI20825,73.06,
20RITI20826,5.28,
20RITI20827,56.05,
20RITI20828,0.11,
20RITI20829,31.44,
20RITI20830,70.32,
20RITI20831,14.92,
20RITI20832,0.31,
20RITI20833,33.62,
20RITI20834,44.25,
20RITI20835,76.61,
20RITI20836,19.16,
20RITI20837,33.46,
20RITI20838,85.96,
20RITI20839,11.05,
20RITI20840,62.04,
20RITI20841,68.86,
20RITI20842,63.9,
20RITI20843,105.16,
20RITI20844,57.76,
20RITI20845,27.54,
20RITI20846,61.17,
20RITI20847,0,
20RITI20848,27.13,
20RITI20849,36.03,
20RITI20850,28.84,
20RITI20851,21.4,
20RITI20852,102.54,
20RITI20853,27.82,
20RITI20854,6.52,
20RITI20855,26.51,
20RITI20856,3.32,
20RITI20857,41.75,
20RITI20858,49.99,
20RITI20859,0.08,
20RITI20860,10.2,
20RITI20861,59.09,
20RITI20862,54.94,
20RITI20863,0,
20RITI20864,46.73,
20RITI20865,53.09,
20RITI20866,58.14,
20RITI20867,77.32,
20RITI20868,29.17,
20RITI20869,48.83,
20RITI20870,0.12,
20RITI20871,47.61,
20RITI20872,8.31,
20RITI20873,2.32,
20RITI20874,0.75,
20RITI20875,3.97,
20RITI20876,3.3,
20RITI20877,6.66,
20RITI20878,4.14,
20RITI20879,8.65,
20RITI20880,3.61,
20RITI20881,1.05,
20RITI20882,0,
20RITI20883,7.16,
20RITI20884,73.29,
20RITI20885,59.97,
20RITI20886,133.07,
20RITI20887,99.79,
20RITI20888,71.04,
20RITI20889,82.76,
20RITI20890,19.68,
20RITI20891,4.64,
20RITI20892,3.8,
20RITI20893,0,
20RITI20894,9.45,
20RITI20895,19.28,
20RITI20896,2.86,
20RITI20897,24.32,
20RITI20898,17.21,
20RITI20899,30.87,
20RITI20900,8.67,
20RITI20901,45.72,
20RITI20902,31.11,
20RITI20903,69.62,
20RITI20904,5.14,
20RITI20905,20.87,
20RITI20906,54.1,
20RITI20907,43.7,
20RITI20908,5.19,
20RITI20909,57.1,
20RITI20910,40.27,
20RITI20911,59.01,
20RITI20912,31.77,
20RITI20913,99.36,
20RITI20914,68.89,
20RITI20915,87.3,
20RITI20916,63.01,
20RITI20917,18.13,
20RITI20918,28.05,
20RITI20919,12.21,
20RITI20920,8.54,
20RITI20921,29.82,
20RITI20922,16.64,
20RITI20923,57.81,
20RITI20924,20.67,
20RITI20925,37.71,
20RITI20926,36.64,
20RITI20927,71.51,
20RITI20928,6.11,
20RITI20929,45.46,
20RITI20930,69.91,
20RITI20931,28.63,
20RITI20932,57.49,
20RITI20933,32.94,
20RITI20934,45.02,
20RITI20935,19.96,
20RITI20936,18.12,
20RITI20937,6.67,
20RITI20938,9.26,
20RITI20939,53.21,
20RITI20940,145.93,
20RITI20941,67.15,
20RITI20942,118.79,
20RITI20943,93.45,
20RITI20944,84.6,
20RITI20945,106.22,
20RITI20946,84.44,
20RITI20947,29.42,
20RITI20948,55.94,
20RITI20949,45.69,
20RITI20950,25.74,
20RITI20951,65.09,
20RITI20952,26.92,
20RITI20953,35.49,
20RITI20954,65.06,
20RITI20955,14.02,
20RITI20956,52.31,
20RITI20957,55.81,
20RITI20958,8.83,
20RITI20959,56.25,
20RITI20960,47.36,
20RITI20961,37.77,
20RITI20962,34.55,
20RITI20963,2.9,
20RITI20964,71.39,
20RITI20965,55.03,
20RITI20966,41.6,
20RITI20967,25.23,
20RITI20968,65.75,
20RITI20969,71.29,
20RITI20970,46.45,
20RITI20971,53.63,
20RITI20972,55.12,
20RITI20973,2.59,
20RITI20974,1.45,
20RITI20975,5.77,
20RITI20976,1.41,
20RITI20977,0.78,
20RITI20978,6.68,
20RITI20979,7.42,
20RITI20980,0.64,
20RITI20981,1.79,
20RITI20982,19.07,
20RITI20983,10.43,
20RITI20984,35.44,
20RITI20985,40.05,
20RITI20986,35.07,
20RITI20987,55.28,
20RITI20988,19.52,
20RITI20989,38.6,
20RITI20990,4.98,
20RITI20991,3.64,
20RITI20992,8.25,
20RITI20993,10.56,
20RITI20994,1.82,
20RITI20995,2.57,
20RITI20996,19.92,
20RITI20997,2.84,
20RITI20998,30.46,
20RITI20999,14.72,
20RITI21000,13.41,
20RITI21001,16.8,
20RITI21002,50.53,
20RITI21003,52.9,
20RITI21004,1.8,
20RITI21005,43.85,
20RITI21006,38.22,
20RITI21007,27.14,
20RITI21008,44.19,
20RITI21009,32.64,
20RITI21010,13.41,
20RITI21011,14.8,
20RITI21012,46.74,
20RITI21013,47.66,
20RITI21014,23.8,
20RITI21015,79.33,
20RITI21016,53.73,
20RITI21017,10.49,
20RITI21018,12.13,
20RITI21019,14.6,
20RITI21020,26.01,
20RITI21021,10.71,
20RITI21022,27.35,
20RITI21023,35.98,
20RITI21024,11.65,
20RITI21025,27.92,
20RITI21026,24.87,
20RITI21027,19.6,
20RITI21028,47.02,
20RITI21029,6.81,
20RITI21030,17.16,
20RITI21031,39.91,
20RITI21032,44.88,
20RITI21033,15.97,
20RITI21034,51.1,
20RITI21035,45.18,
20RITI21036,5.96,
20RITI21037,23.41,
20RITI21038,12.12,
20RITI21039,17.8,
20RITI21040,28.78,
20RITI21041,33.58,
20RITI21042,82.23,
20RITI21043,72.83,
20RITI21044,30.64,
20RITI21045,6.73,
20RITI21046,31.67,
20RITI21047,61.3,
20RITI21048,65.97,
20RITI21049,59.32,
20RITI21050,54.6,
20RITI21051,55.34,
20RITI21052,94.47,
20RITI21053,64.2,
20RITI21054,87.62,
20RITI21055,49.21,
20RITI21056,8.73,
20RITI21057,41.09,
20RITI21058,41.35,
20RITI21059,28.36,
20RITI21060,23.97,
20RITI21061,38.54,
20RITI21062,15.79,
20RITI21063,21.7,
20RITI21064,48.29,
20RITI21065,16.95,
20RITI21066,11.03,
20RITI21067,16.9,
20RITI21068,67.39,
20RITI21069,32.5,
20RITI21070,61.51,
20RITI21071,35.37,
20RITI21072,41.91,
20RITI21073,1.65,
20RITI21074,0.25,
20RITI21075,12.2,
20RITI21076,4.75,
20RITI21077,4.01,
20RITI21078,13.35,
20RITI21079,12.86,
20RITI21080,1.72,
20RITI21081,1.71,
20RITI21082,7.3,
20RITI21083,14.37,
20RITI21084,25.68,
20RITI21085,43.28,
20RITI21086,62.16,
20RITI21087,74.49,
20RITI21088,37.99,
20RITI21089,30.96,
20RITI21090,7.78,
20RITI21091,10.37,
20RITI21092,4.21,
20RITI21093,4.05,
20RITI21094,5.5,
