fid,left,top,right,bottom,id,BI2022_06_21,SCI2022_06_21,GLI2022_06_21,HI2022_06_21,NGRDI2022_06_21,SI2022_06_21,VARI2022_06_21,HUE2022_06_21,BGI2022_06_21,PSRI2022_06_21,NDVI2022_06_21,GNDVI2022_06_21,RVI2022_06_21,NDRE2022_06_21,TVI2022_06_21,CVI2022_06_21,EVI2022_06_21,CIG2022_06_21,CIRE2022_06_21,DVI2022_06_21,GR2022_06_21,NGBDI2022_06_21,BGI22022_06_21,RGBVI2022_06_21,GRVI2022_06_21,EXG2022_06_21,MGRVI2022_06_21,GLA2022_06_21,IHS2022_06_21
"36",431034.0546,4637736.7622,431037.0546,4637735.8522,"1765",2321.12060546875,0.194418430328369,0.136893063783646,0.574482679367065,0.0434528104960918,0.194418430328369,0.0629134550690651,-1.57074773311615,0.589173555374146,-0.0216569621115923,0.350761443376541,0.33561098575592,2.08053183555603,-0.297139286994934,149951.234375,1.68631362915039,0.854251682758331,1.01028454303741,-0.458145558834076,-4008.40185546875,0.916713416576385,0.258515775203705,0.589173555374146,0.293980270624161,0.0434528104960918,1059.86657714844,0.0867418348789215,0.136893063783646,2250.38525390625
"37",431037.0546,4637752.2322,431040.0546,4637751.3222,"1764",1835.68310546875,0.0755354315042496,0.235657304525375,-0.573858141899109,0.205009669065475,0.0755354315042496,0.311975210905075,-1.57077777385712,0.590099096298218,-0.0448873788118362,0.563932120800018,0.358651280403137,3.58644223213196,-0.409796446561813,187860.1875,1.60689318180084,2.04588150978088,1.11842823028564,-0.581355512142181,-6055.3994140625,0.659737765789032,0.25778329372406,0.590099096298218,0.449370920658112,0.205009669065475,1215.52770996094,0.393481701612473,0.235657304525375,1742.52429199219
"38",431037.0546,4637751.3222,431040.0546,4637750.4122,"1763",1632.53540039062,0.0228755958378315,0.255940139293671,-0.878035843372345,0.249517321586609,0.0228755958378315,0.39015856385231,-1.57078564167023,0.584343671798706,-0.0542212352156639,0.599025428295135,0.388895779848099,3.98784756660461,-0.477678775787354,233914.625,1.44070649147034,2.62538552284241,1.27276432514191,-0.646525859832764,-9130.4482421875,0.600618064403534,0.262352406978607,0.584343671798706,0.481723695993423,0.249517321586609,1573.17919921875,0.469786286354065,0.255940139293671,1563.56750488281
"39",431037.0546,4637750.4122,431040.0546,4637749.5022,"1762",1760.12976074219,0.0857431143522263,0.238447204232216,-0.529879868030548,0.203394964337349,0.0857431143522263,0.306068807840347,-1.57078301906586,0.582682847976685,-0.0468726493418217,0.57267153263092,0.378107398748398,3.68023991584778,-0.438154190778732,216451.203125,1.58673632144928,1.97840976715088,1.21598935127258,-0.609328508377075,-8082.095703125,0.66196471452713,0.263677060604095,0.582682847976685,0.454846173524857,0.203394964337349,1420.75854492188,0.390629768371582,0.238447204232216,1685.36706542969
"40",431037.0546,4637749.5022,431040.0546,4637748.5922,"1761",1676.47229003906,-0.0125844702124596,0.282407283782959,-1.06026101112366,0.298177570104599,-0.0125844702124596,0.46796777844429,-1.57078170776367,0.589411675930023,-0.0604068972170353,0.627321124076843,0.37459135055542,4.36654996871948,-0.428941339254379,209393.1875,1.33969986438751,2.60888075828552,1.19790887832642,-0.600362420082092,-6300.74658203125,0.540621280670166,0.258327215909958,0.589411675930023,0.526976346969604,0.298177570104599,1429.42248535156,0.547662556171417,0.282407283782959,1588.73083496094
"41",431037.0546,4637748.5922,431040.0546,4637747.6822,"1760",1858.06274414062,0.0963635742664337,0.235381856560707,-0.464025467634201,0.191867470741272,0.0963635742664337,0.288915872573853,-1.57078170776367,0.563924014568329,-0.0551099181175232,0.531915605068207,0.363202035427094,3.27273368835449,-0.381814241409302,213352.765625,1.50248289108276,1.69600284099579,1.14071357250214,-0.552627444267273,-5958.865234375,0.678038895130157,0.278834521770477,0.563924014568329,0.451027661561966,0.191867470741272,1474.06127929688,0.370110034942627,0.235381856560707,1772.25561523438
"42",431037.0546,4637747.6822,431040.0546,4637746.7722,"1759",1799.89453125,0.0321218743920326,0.281734555959702,-0.853110730648041,0.274941235780716,0.0321218743920326,0.419190555810928,-1.57078456878662,0.558627486228943,-0.0633082389831543,0.619157791137695,0.374736458063126,4.25151920318604,-0.399699091911316,232413.5625,1.41090488433838,2.41685342788696,1.19865119457245,-0.571121454238892,-6898.119140625,0.568699717521667,0.283180266618729,0.558627486228943,0.52467155456543,0.274941235780716,1598.9248046875,0.511236727237701,0.281734555959702,1695.17297363281
"43",431037.0546,4637746.7722,431040.0546,4637745.8622,"1758",1922.88208007812,0.0834555923938751,0.214097321033478,-0.472687661647797,0.176646962761879,0.0834555923938751,0.272338390350342,-1.57078099250793,0.609200358390808,-0.0528989434242249,0.503278136253357,0.340294033288956,3.02639818191528,-0.368328362703323,190662.78125,1.49937129020691,1.86228561401367,1.03165364265442,-0.538362503051758,-5175.87158203125,0.699745178222656,0.242853313684464,0.609200358390808,0.413103014230728,0.176646962761879,1339.76037597656,0.342603296041489,0.214097321033478,1857.23937988281
"44",431037.0546,4637745.8622,431040.0546,4637744.9522,"1757",1579.52697753906,0.00202912953682244,0.295265167951584,-0.991147756576538,0.297660499811172,0.00202912953682244,0.458360433578491,-1.57078528404236,0.551910519599915,-0.0653392821550369,0.632375240325928,0.380837231874466,4.44032907485962,-0.445174276828766,232056.375,1.30757772922516,2.8053343296051,1.23016834259033,-0.616083860397339,-7741.68359375,0.541235148906708,0.288734078407288,0.551910519599915,0.544478952884674,0.297660499811172,1631.69030761719,0.546867609024048,0.295265167951584,1494.93029785156
"45",431037.0546,4637744.9522,431040.0546,4637744.0422,"1756",1844.16442871094,0.0148997344076633,0.297581821680069,-0.93210905790329,0.294077903032303,0.0148997344076633,0.448383510112762,-1.57078731060028,0.544391989707947,-0.0680816695094109,0.628131985664368,0.382837414741516,4.3782525062561,-0.414986819028854,255922.75,1.3147166967392,2.6858286857605,1.24063718318939,-0.586559236049652,-7791.89013671875,0.545502007007599,0.295008033514023,0.544391989707947,0.548579573631287,0.294077903032303,1816.01062011719,0.541339695453644,0.297581821680069,1737.05261230469
"46",431037.0546,4637744.0422,431040.0546,4637743.1322,"1755",1549.20336914062,0.0497840270400047,0.222055003046989,-0.690911114215851,0.200913667678833,0.0497840270400047,0.315147936344147,-1.57077634334564,0.607785820960999,-0.0443157665431499,0.565839648246765,0.378081411123276,3.60659337043762,-0.478274881839752,180718.453125,1.56491112709045,2.28263068199158,1.21585512161255,-0.647071659564972,-7791.1064453125,0.66539865732193,0.243946745991707,0.607785820960999,0.426004707813263,0.200913667678833,1126.1103515625,0.386236399412155,0.222055003046989,1487.23791503906
